Index,Category,Landmark_X,Landmark_Y,User_ID
3,right_pupil,302,218,1
3,right_pupil,311,225,1
3,left_pupil,220,233,1
3,left_pupil,228,231,1
3,left_pupil,218,225,1
3,left_pupil,212,234,1
3,left_pupil,221,240,1
4,left_eye_border,197,245,1
4,left_eye_border,199,242,1
4,left_eye_border,201,239,1
4,left_eye_border,206,236,1
4,left_eye_border,213,233,1
4,left_eye_border,219,233,1
4,left_eye_border,226,233,1
4,left_eye_border,232,235,1
4,left_eye_border,234,237,1
4,left_eye_border,232,238,1
4,left_eye_border,228,240,1
4,left_eye_border,222,242,1
4,left_eye_border,216,244,1
4,left_eye_border,209,246,1
4,left_eye_border,204,246,1
4,left_eye_border,200,246,1
4,right_eye_border,290,226,1
4,right_eye_border,292,224,1
4,right_eye_border,297,220,1
4,right_eye_border,304,216,1
4,right_eye_border,311,214,1
4,right_eye_border,318,214,1
4,right_eye_border,324,216,1
4,right_eye_border,328,218,1
4,right_eye_border,330,219,1
4,right_eye_border,327,222,1
4,right_eye_border,324,224,1
4,right_eye_border,318,225,1
4,right_eye_border,311,226,1
4,right_eye_border,304,227,1
4,right_eye_border,297,227,1
4,right_eye_border,293,227,1
4,face_grid,251,167,1
4,face_grid,277,163,1
4,face_grid,301,164,1
4,face_grid,325,170,1
4,face_grid,343,182,1
4,face_grid,357,199,1
4,face_grid,367,218,1
4,face_grid,374,240,1
4,face_grid,377,261,1
4,face_grid,375,272,1
4,face_grid,379,303,1
4,face_grid,374,326,1
4,face_grid,367,343,1
4,face_grid,358,355,1
4,face_grid,346,366,1
4,face_grid,335,374,1
4,face_grid,322,381,1
4,face_grid,307,387,1
4,face_grid,287,392,1
4,face_grid,267,394,1
4,face_grid,251,392,1
4,face_grid,239,389,1
4,face_grid,228,385,1
4,face_grid,216,378,1
4,face_grid,207,369,1
4,face_grid,198,355,1
4,face_grid,189,335,1
4,face_grid,183,315,1
4,face_grid,179,296,1
4,face_grid,175,276,1
4,face_grid,173,254,1
4,face_grid,174,234,1
4,face_grid,179,214,1
4,face_grid,189,196,1
4,face_grid,206,182,1
4,face_grid,226,174,1
4,right_pupil,313,220,1
4,right_pupil,322,218,1
4,right_pupil,312,212,1
4,right_pupil,304,221,1
4,right_pupil,314,228,1
4,left_pupil,214,238,1
4,left_pupil,223,236,1
4,left_pupil,212,231,1
4,left_pupil,205,240,1
4,left_pupil,215,246,1
5,left_eye_border,201,247,1
5,left_eye_border,203,245,1
5,left_eye_border,206,243,1
5,left_eye_border,210,240,1
5,left_eye_border,217,237,1
5,left_eye_border,223,236,1
5,left_eye_border,229,235,1
5,left_eye_border,234,236,1
5,left_eye_border,236,237,1
5,left_eye_border,234,238,1
5,left_eye_border,230,240,1
5,left_eye_border,225,242,1
5,left_eye_border,219,244,1
5,left_eye_border,213,246,1
5,left_eye_border,208,247,1
5,left_eye_border,205,247,1
5,right_eye_border,290,226,1
5,right_eye_border,292,224,1
5,right_eye_border,297,222,1
5,right_eye_border,304,220,1
5,right_eye_border,311,219,1
5,right_eye_border,317,219,1
5,right_eye_border,323,220,1
5,right_eye_border,326,221,1
5,right_eye_border,329,222,1
5,right_eye_border,326,224,1
5,right_eye_border,322,225,1
5,right_eye_border,317,226,1
5,right_eye_border,310,227,1
5,right_eye_border,303,227,1
5,right_eye_border,297,227,1
5,right_eye_border,293,226,1
5,face_grid,252,167,1
5,face_grid,278,163,1
5,face_grid,302,163,1
5,face_grid,326,170,1
5,face_grid,345,182,1
5,face_grid,359,199,1
5,face_grid,369,218,1
5,face_grid,377,241,1
5,face_grid,380,262,1
5,face_grid,377,274,1
5,face_grid,381,306,1
5,face_grid,377,329,1
5,face_grid,368,345,1
5,face_grid,359,357,1
5,face_grid,346,367,1
5,face_grid,335,374,1
5,face_grid,322,380,1
5,face_grid,307,386,1
5,face_grid,286,391,1
5,face_grid,267,393,1
5,face_grid,253,392,1
5,face_grid,241,390,1
5,face_grid,231,387,1
5,face_grid,219,381,1
5,face_grid,210,373,1
5,face_grid,201,360,1
5,face_grid,192,340,1
5,face_grid,185,320,1
5,face_grid,181,300,1
5,face_grid,177,280,1
5,face_grid,176,257,1
5,face_grid,177,236,1
5,face_grid,182,216,1
5,face_grid,192,198,1
5,face_grid,208,183,1
5,face_grid,227,174,1
5,right_pupil,312,222,1
5,right_pupil,321,221,1
5,right_pupil,312,214,1
5,right_pupil,304,223,1
5,right_pupil,313,229,1
5,left_pupil,218,240,1
5,left_pupil,227,238,1
5,left_pupil,216,233,1
5,left_pupil,210,242,1
5,left_pupil,220,247,1
6,left_eye_border,203,238,1
6,left_eye_border,205,236,1
6,left_eye_border,207,233,1
6,left_eye_border,212,230,1
6,left_eye_border,218,228,1
6,left_eye_border,224,227,1
6,left_eye_border,231,228,1
6,left_eye_border,236,229,1
6,left_eye_border,238,231,1
6,left_eye_border,236,232,1
6,left_eye_border,232,234,1
6,left_eye_border,226,236,1
6,left_eye_border,220,237,1
6,left_eye_border,214,239,1
6,left_eye_border,209,239,1
6,left_eye_border,206,239,1
6,right_eye_border,290,221,1
6,right_eye_border,292,219,1
6,right_eye_border,297,216,1
6,right_eye_border,303,213,1
6,right_eye_border,310,211,1
6,right_eye_border,317,211,1
6,right_eye_border,322,213,1
